ACNO|BARCODE|CALLNO1|CALLNO2|CALLNO3|TITLE|STATUS|PUBER|AUTHOR_NAME|GMD|PM|BOOK_LAN|SUBJECT
C11373| | 471.6| | 2400| 24小時倉頡輸入法教程| A| 萬里| | B| am| chi| Computer
TRC0143| | 471.6| | 2600| 自組電腦疑難排解| W| 指南針集團| 張啟榮　編| O| am| chi| Computer
C19107| | 471.6| | 2643| Android APP 範例完全學習手冊| A| 佳魁資訊股份| 吳亞峰, 蘇亞光| B| am| chi| Computer
C06213| | 471.6| | 2643| PC  BASIC 程式設計| A| 松崗| 吳道明| B| am| chi| Computer
TRC0113| | 471.6| | 2643| Flash  5  終極高手| W| 學貫| 吳佳諺| O| am| chi| Computer
C09661| | 471.6| | 2707| Excel for Windows 95 入門圖解| B| 萬里| Brynly Clarke| B| am| chi| Computer
C19105| | 471.6| | 2792| 網路技術入門 3 分鐘超圖解講座| A| 旗標| 網野衛二| B| am| chi| Computer
C20213| | 471.6| | 2998| 秋聲教你玩 C 語言與指標 : 給挑戰者的 22 堂課| A| 博碩文化| 秋聲| B| am| chi| Computer
C13611| | 471.6| | 3021| 完全救機手冊| A| 指南針| 鄭文鑫| B| am| chi| Computer
C12855| | 471.6| | 3038| DHTML 網業自學手冊 1| A| 指南針| 張啟榮| B| am| chi| Computer
C10742| | 471.6| | 3418| Borland C++入門與應用徹底剖析| A| 文魁資訊| 洪錦魁| B| am| chi| Computer
TRC0145| | 471.6| | 3740| Dreamweaver 完全使用手冊| W| 指南針集團| | O| am| chi| Computer
C12853| | 471.6| | 3740| Dreamweaver 完全使用手冊| A| 指南針| | B| am| chi| Computer
C11070| | 471.6| | 4010| 電腦應用問答150| A| 萬里| 士會| B| am| chi| Computer
C12852| | 471.6| | 4050| Java Script  網頁特效速成手冊    3| A| 指南針| 侯小剛| B| am| chi| Computer
C12851| | 471.6| | 4050| Java Script  網頁特效速成手冊    2| A| 指南針| 馬國平| B| am| chi| Computer
